DATE, DB, G1, G2, G3, G4, G5, G6, G7, KT
17/02/2023,18435,11438, 32855-13679, 33342-76501-51568-92950-08510-60849, 6599-0115-7637-7339, 2498-6010-1656-5415-9788-4332, 870-135-891, 56-02-40-94, 10MF-5MF-15MF-12MF-1MF-6MF
16/02/2023,65243,2602, 54187-54495, 32956-53662-44891-90653-50511-74438, 4653-4708-1539-8014, 1805-6536-6568-2574-6732-4978, 412-364-314, 89-40-34-86, 5MG-11MG-15MG-6MG-13MG-9MG
15/02/2023,18158,68823, 10621-87113, 17280-05916-19414-79186-37611-59188, 2841-8684-8318-5422, 5366-0272-6247-2854-1045-5904, 602-224-508, 54-75-72-82, 9MH-8MH-10MH-2MH-12MH-14MH
14/02/2023,56141,73625, 25591-26545, 43417-13466-52501-00282-67148-52621, 1613-9227-6862-9953, 1582-1540-1568-5044-1304-2096, 393-022-137, 20-77-38-84, 6MK-1MK-14MK-4MK-9MK-11MK
13/02/2023,41916,8972, 85731-59090, 50333-10120-60151-67796-77837-14004, 5708-6514-3119-3663, 8008-1585-9460-8815-2619-0262, 399-117-238, 68-35-88-42, 9ML-11ML-14ML-3ML-1ML-2ML
12/2/2023,9841,45011, 90809-72174, 65283-75479-49179-37768-19980-20304, 4317-8272-6686-8254, 6216-2610-5272-7590-2067-7968, 343-444-603, 63-42-35-13, 5MN-12MN-8MN-15MN-13MN-7MN
11/2/2023,98713,18834, 17460-78706, 74043-63680-00185-61529-94039-45565, 5543-1288-4007-4955, 4040-0319-4862-5733-5162-8364, 413-063-891, 23-31-13-97, 7MP-5MP-6MP-13MP-10MP-9MP
10/2/2023,85120,58592, 53011-52879, 59444-00995-02540-80461-30788-27247, 5157-8803-9017-4982, 9964-4270-1599-4834-2452-3287, 949-516-442, 27-17-90-53, 15MQ-9MQ-1MQ-5MQ-4MQ-12MQ
9/2/2023,29337,79795, 56690-48887, 92901-77395-87205-44553-84555-79916, 8589-6897-1079-1983, 1236-9243-7934-4534-9730-5156, 768-840-640, 70-52-79-13, 4MR-6MR-14MR-13MR-11MR-2MR
8/2/2023,88864,58679, 99604-51365, 11054-21296-73693-94535-33878-20697, 9292-0342-0933-1244, 9592-5309-4376-1230-3835-6215, 855-584-139, 30-21-29-83, 2MS-3MS-4MS-1MS-9MS-8MS
7/2/2023,18198,71786, 90306-05645, 57283-23864-72211-62199-57365-40880, 4417-4196-3901-5992, 4003-5186-5049-2861-1761-7271, 484-465-916, 44-04-62-23, 7MT-8MT-10MT-14MT-5MT-4MT
6/2/2023,35492,27386, 77331-13534, 61892-81361-57325-19943-52187-55210, 2014-6409-3258-8688, 9374-4850-8320-7814-8710-0717, 794-635-599, 95-56-66-19, 10MU-11MU-1MU-9MU-13MU-6MU
5/2/2023,6194,41299, 35133-39473, 40420-29343-31064-66278-59129-16617, 7037-9260-2809-5294, 7690-7727-6959-0095-1920-7180, 078-772-457, 85-74-31-79, 12MV-20MV-15MV-3MV-16MV-9MV-13MV-8MV
4/2/2023,64948,4674, 16883-77334, 12795-68347-65312-09038-86560-22314, 2746-8474-2057-3300, 5264-2363-1877-0033-2488-9198, 104-622-010, 77-06-18-96, 2MX-1MX-12MX-8MX-6MX-3MX
3/2/2023,52766,79512, 12874-00591, 19739-53846-86931-48174-75976-36988, 9591-7194-9590-7739, 9894-3969-3811-5153-3349-3722, 561-446-237, 29-67-28-25, 5MY-7MY-8MY-4MY-2MY-6MY
2/2/2023,60755,35682, 29934-63527, 36869-93254-18961-79187-66574-51138, 9942-3708-0879-3794, 1300-9770-4034-6902-1730-9819, 104-606-619, 51-19-90-89, 11MZ-8MZ-5MZ-4MZ-6MZ-9MZ
1/2/2023,34838,29989, 64285-65938, 54835-94648-82384-40292-70918-01062, 8441-1468-0916-5129, 6463-5037-7184-2312-3165-6247, 042-076-709, 74-54-61-06, 4LA-6LA-12LA-10LA-1LA-15LA
31/01/2023,30061,21284, 95201-18959, 39371-85823-24941-22036-22477-18709, 1081-8622-3216-0868, 8908-5675-3757-0290-6421-3461, 940-315-055, 07-15-20-49, 11LB-13LB-2LB-19LB-15LB-5LB-1LB-9LB
30/01/2023,16179,12198, 66824-97525, 76829-01458-00678-04710-93846-11457, 3440-5637-9612-9495, 2099-6964-0572-7189-8620-3391, 901-919-624, 96-65-03-70, 12LC-14LC-8LC-13LC-11LC-9LC
29/01/2023,76479,25766, 72194-11034, 40098-29006-40715-61584-39911-24856, 3454-3693-5723-7638, 5842-0789-9534-0388-1327-2320, 134-548-571, 35-26-48-03, 3LD-17LD-8LD-4LD-20LD-9LD-13LD-12LD
28/01/2023,87219,88795, 61887-71870, 36399-99176-44895-48144-89665-83781, 1226-3681-3051-3591, 1368-8512-0613-9140-8974-7483, 313-104-436, 30-87-80-75, 10LE-9LE-8LE-11LE-12LE-15LE
27/01/2023,72859,84970, 22948-27905, 68839-72151-45870-16675-45622-30683, 5687-8094-1582-5288, 9289-6626-4652-3120-7508-5479, 166-101-463, 93-42-35-69, 1LF-7LF-11LF-15LF-6LF-3LF
